IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.70.49.65,443,443,true,FRA,Europe,Frankfurt,190,9.83
140.238.80.152,443,443,true,FRA,Europe,Frankfurt,173,9.81
158.101.207.95,443,443,true,FRA,Europe,Frankfurt,182,9.81
141.147.93.81,443,443,true,FRA,Europe,Frankfurt,179,9.81
79.72.77.251,443,443,true,FRA,Europe,Frankfurt,183,9.81
84.8.147.111,443,443,true,FRA,Europe,Frankfurt,191,9.80
158.101.207.167,443,443,true,FRA,Europe,Frankfurt,196,9.79
79.72.70.147,443,443,true,FRA,Europe,Frankfurt,232,9.78
158.178.147.26,443,443,true,FRA,Europe,Frankfurt,171,9.77
158.178.151.181,443,443,true,FRA,Europe,Frankfurt,172,9.76
144.24.186.218,443,443,true,FRA,Europe,Frankfurt,184,9.74
138.2.146.143,443,443,true,FRA,Europe,Frankfurt,191,9.73
132.145.231.51,443,443,true,FRA,Europe,Frankfurt,169,9.67
84.235.168.51,443,443,true,FRA,Europe,Frankfurt,175,9.65
141.147.79.2,443,443,true,FRA,Europe,Frankfurt,170,9.65
130.162.63.238,443,443,true,FRA,Europe,Frankfurt,203,9.64
158.101.209.141,443,443,true,FRA,Europe,Frankfurt,186,9.58
144.21.34.77,443,443,true,FRA,Europe,Frankfurt,171,9.57
152.70.123.225,8443,443,true,SJC,North America,San Jose,191,9.56
152.67.133.188,443,443,true,FRA,Europe,Frankfurt,199,9.51
158.178.148.49,443,443,true,FRA,Europe,Frankfurt,182,9.46
132.145.224.224,443,443,true,FRA,Europe,Frankfurt,168,9.43
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,189,9.42
141.144.228.232,443,443,true,FRA,Europe,Frankfurt,166,9.41
143.47.224.228,443,443,true,FRA,Europe,Frankfurt,177,9.41
130.61.206.201,443,443,true,FRA,Europe,Frankfurt,165,9.39
158.178.151.27,443,443,true,FRA,Europe,Frankfurt,207,9.39
144.24.85.158,443,443,true,ICN,Asia Pacific,Seoul,67,9.38
141.147.11.199,443,443,true,FRA,Europe,Frankfurt,200,9.36
130.162.173.33,443,443,true,FRA,Europe,Frankfurt,196,9.33
79.72.78.107,443,443,true,FRA,Europe,Frankfurt,210,9.32
143.47.178.12,443,443,true,FRA,Europe,Frankfurt,170,9.31
84.235.160.250,443,443,true,FRA,Europe,Frankfurt,175,9.29
141.147.70.163,443,443,true,FRA,Europe,Frankfurt,200,9.27
143.47.230.93,443,443,true,FRA,Europe,Frankfurt,183,9.25
141.147.44.48,443,443,true,FRA,Europe,Frankfurt,183,9.25
141.147.80.72,443,443,true,FRA,Europe,Frankfurt,174,9.23
143.47.248.201,443,443,true,FRA,Europe,Frankfurt,177,9.22
138.2.168.145,443,443,true,FRA,Europe,Frankfurt,175,9.21
158.101.223.187,443,443,true,FRA,Europe,Frankfurt,182,9.19
144.21.40.14,443,443,true,FRA,Europe,Frankfurt,199,9.09
144.21.40.78,443,443,true,FRA,Europe,Frankfurt,170,9.08
141.144.197.111,443,443,true,AMS,Europe,Amsterdam,167,9.03
158.179.206.143,443,443,true,ARN,Europe,Stockholm,184,9.00
158.178.151.107,443,443,true,FRA,Europe,Frankfurt,192,9.00
141.147.107.88,443,443,true,FRA,Europe,Frankfurt,177,8.95
143.47.228.48,443,443,true,FRA,Europe,Frankfurt,202,8.93
192.9.137.193,8443,443,true,SJC,North America,San Jose,172,8.91
143.47.242.207,443,443,true,FRA,Europe,Frankfurt,178,8.89
129.146.111.62,443,443,true,LAX,North America,Los Angeles,193,8.88
158.178.151.59,443,443,true,FRA,Europe,Frankfurt,190,8.87
158.178.155.58,443,443,true,FRA,Europe,Frankfurt,208,8.87
141.147.77.221,443,443,true,FRA,Europe,Frankfurt,175,8.86
84.8.158.4,443,443,true,FRA,Europe,Frankfurt,175,8.85
141.147.96.206,443,443,true,FRA,Europe,Frankfurt,170,8.83
141.147.36.160,443,443,true,FRA,Europe,Frankfurt,164,8.80
130.162.174.57,443,443,true,FRA,Europe,Frankfurt,178,8.79
152.70.184.211,443,443,true,FRA,Europe,Frankfurt,167,8.66
143.47.226.76,443,443,true,FRA,Europe,Frankfurt,194,8.64
141.148.228.134,443,443,true,FRA,Europe,Frankfurt,156,8.51
138.2.145.81,443,443,true,FRA,Europe,Frankfurt,177,8.47
132.226.214.187,443,443,true,FRA,Europe,Frankfurt,174,8.41
141.144.192.182,443,443,true,FRA,Europe,Frankfurt,172,8.34
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,181,8.32
130.162.175.95,443,443,true,FRA,Europe,Frankfurt,198,8.31
141.147.90.186,443,443,true,FRA,Europe,Frankfurt,187,8.30
141.147.101.100,443,443,true,FRA,Europe,Frankfurt,185,8.19
192.18.134.22,443,443,true,SJC,North America,San Jose,210,8.18
150.230.121.225,443,443,true,FRA,Europe,Frankfurt,168,8.13
158.178.145.126,443,443,true,FRA,Europe,Frankfurt,168,8.13
158.180.58.5,443,443,true,FRA,Europe,Frankfurt,161,8.12
144.21.36.43,443,443,true,FRA,Europe,Frankfurt,170,8.10
143.47.234.184,443,443,true,FRA,Europe,Frankfurt,183,8.10
158.101.208.119,443,443,true,FRA,Europe,Frankfurt,184,8.06
141.147.106.241,443,443,true,FRA,Europe,Frankfurt,187,8.04
138.2.135.145,443,443,true,FRA,Europe,Frankfurt,172,8.01
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,190,7.89
158.178.146.31,443,443,true,FRA,Europe,Frankfurt,194,7.89
129.159.194.58,443,443,true,FRA,Europe,Frankfurt,176,7.84
164.152.26.70,2052,443,true,ORD,North America,Chicago,256,7.75
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,160,7.74
141.147.88.198,443,443,true,FRA,Europe,Frankfurt,202,7.74
158.101.210.238,443,443,true,FRA,Europe,Frankfurt,183,7.70
193.122.56.220,443,443,true,FRA,Europe,Frankfurt,177,7.64
158.101.211.213,443,443,true,FRA,Europe,Frankfurt,171,7.51
158.101.204.175,443,443,true,FRA,Europe,Frankfurt,168,7.47
130.61.32.86,2096,443,true,FRA,Europe,Frankfurt,164,7.46
79.72.73.215,443,443,true,FRA,Europe,Frankfurt,171,7.38
132.145.248.11,443,443,true,FRA,Europe,Frankfurt,152,7.38
193.123.34.54,443,443,true,FRA,Europe,Frankfurt,168,7.32
158.180.56.192,443,443,true,FRA,Europe,Frankfurt,194,7.29
143.47.227.188,443,443,true,FRA,Europe,Frankfurt,191,7.28
138.2.129.179,443,443,true,FRA,Europe,Frankfurt,160,7.28
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,172,7.12
158.180.51.134,443,443,true,FRA,Europe,Frankfurt,162,7.10
130.162.186.4,443,443,true,FRA,Europe,Frankfurt,181,6.97
141.144.195.32,443,443,true,FRA,Europe,Frankfurt,155,6.91
158.180.51.162,443,443,true,FRA,Europe,Frankfurt,171,6.89
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,159,6.87
130.61.15.235,443,443,true,FRA,Europe,Frankfurt,155,6.84
130.61.32.86,8443,443,true,FRA,Europe,Frankfurt,178,6.82
89.168.94.173,443,443,true,FRA,Europe,Frankfurt,202,6.82
89.168.71.83,443,443,true,FRA,Europe,Frankfurt,160,6.72
164.152.26.70,2086,443,true,ORD,North America,Chicago,221,6.62
158.180.14.25,443,443,true,FRA,Europe,Frankfurt,178,6.51
158.180.37.79,443,443,true,FRA,Europe,Frankfurt,181,6.51
143.47.189.13,443,443,true,FRA,Europe,Frankfurt,171,6.47
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,174,6.47
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,178,6.36
132.145.54.84,2053,443,true,LHR,Europe,London,160,6.27
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,2,6.22
158.180.15.127,443,443,true,FRA,Europe,Frankfurt,180,6.21
144.21.40.134,443,443,true,FRA,Europe,Frankfurt,170,6.10
132.145.13.197,443,443,true,FRA,Europe,Frankfurt,169,6.10
141.148.240.219,443,443,true,FRA,Europe,Frankfurt,201,5.99
129.146.7.98,443,443,true,LAX,North America,Los Angeles,187,5.98
130.61.32.86,2053,443,true,FRA,Europe,Frankfurt,164,5.91
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,166,5.89
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,186,5.86
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,184,5.85
158.101.98.60,2095,443,true,IAD,North America,Ashburn,229,5.84
141.147.103.36,443,443,true,FRA,Europe,Frankfurt,171,5.79
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,195,5.76
143.47.243.144,2053,443,true,LHR,Europe,London,176,5.76
158.101.201.166,443,443,true,FRA,Europe,Frankfurt,168,5.75
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,104,5.74
144.21.63.86,443,443,true,FRA,Europe,Frankfurt,194,5.72
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,71,5.71
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,83,5.69
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,113,5.63
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,69,5.57
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,90,5.54
143.47.243.144,8443,443,true,LHR,Europe,London,169,5.46
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,178,5.42
140.238.195.98,443,443,true,SYD,Oceania,Sydney,94,5.33
159.13.46.42,443,443,true,SYD,Oceania,Sydney,136,5.27
158.179.172.95,443,443,true,NRT,Asia Pacific,Tokyo,104,5.26
150.230.248.166,443,443,true,ICN,Asia Pacific,Seoul,67,5.23
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,90,5.22
130.162.140.215,443,443,true,NRT,Asia Pacific,Tokyo,97,5.21
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,94,5.20
192.9.180.162,443,443,true,SYD,Oceania,Sydney,92,5.18
132.226.10.65,443,443,true,NRT,Asia Pacific,Tokyo,73,5.18
139.185.59.202,443,443,true,CDG,Europe,Paris,99,5.16
141.145.205.115,8443,8443,true,CDG,Europe,Paris,155,5.13
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,215,5.11
143.47.242.195,443,443,true,LHR,Europe,London,152,5.01
138.2.122.191,443,443,true,SJC,North America,San Jose,102,4.99
144.24.243.207,443,443,true,ZRH,Europe,Zurich,160,4.98
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,190,4.90
141.147.85.167,8443,443,true,LHR,Europe,London,158,4.85
144.24.200.164,443,443,true,MRS,Europe,Marseille,150,4.81
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,191,4.80
